Sale ID,Date,Product ID,Product Name,Unit Price
1,2024-10-24,P005,Mobile Phone Case,15
2,2024-10-24,P001,Wireless Headphones,100
3,2024-10-24,P001,Wireless Headphones,100
4,2024-10-24,P006,Wireless Mouse,30
5,2024-10-24,P006,Wireless Mouse,30
6,2024-10-24,P003,Bluetooth Speaker,50
7,2024-10-24,P004,USB Flash Drive,20
8,2024-10-24,P007,Laptop Stand,40
9,2024-10-24,P005,Mobile Phone Case,15
10,2024-10-24,P006,Wireless Mouse,30
11,2024-10-24,P004,USB Flash Drive,20
12,2024-10-24,P006,Wireless Mouse,30
13,2024-10-24,P007,Laptop Stand,40
14,2024-10-24,P004,USB Flash Drive,20
15,2024-10-24,P005,Mobile Phone Case,15
16,2024-10-24,P010,External Hard Drive,100
17,2024-10-24,P010,External Hard Drive,100
18,2024-10-24,P004,USB Flash Drive,20
19,2024-10-24,P009,Smartphone,600
20,2024-10-24,P001,Wireless Headphones,100
21,2024-10-24,P008,HDMI cable,15
22,2024-10-24,P007,Laptop Stand,40
23,2024-10-24,P007,Laptop Stand,40
24,2024-10-24,P003,Bluetooth Speaker,50
25,2024-10-24,P007,Laptop Stand,40
26,2024-10-24,P003,Bluetooth Speaker,50
27,2024-10-24,P002,Laptop Backpack,60
28,2024-10-24,P001,Wireless Headphones,100
29,2024-10-24,P004,USB Flash Drive,20
30,2024-10-24,P006,Wireless Mouse,30
31,2024-10-24,P002,Laptop Backpack,60
32,2024-10-24,P003,Bluetooth Speaker,50
33,2024-10-24,P008,HDMI cable,15
34,2024-10-24,P004,USB Flash Drive,20
35,2024-10-24,P009,Smartphone,600
36,2024-10-24,P001,Wireless Headphones,100
37,2024-10-24,P003,Bluetooth Speaker,50
38,2024-10-24,P006,Wireless Mouse,30
39,2024-10-24,P008,HDMI cable,15
40,2024-10-24,P004,USB Flash Drive,20
41,2024-10-24,P009,Smartphone,600
42,2024-10-24,P008,HDMI cable,15
43,2024-10-24,P006,Wireless Mouse,30
44,2024-10-24,P005,Mobile Phone Case,15
45,2024-10-24,P005,Mobile Phone Case,15
46,2024-10-24,P001,Wireless Headphones,100
47,2024-10-24,P002,Laptop Backpack,60
48,2024-10-24,P005,Mobile Phone Case,15
49,2024-10-24,P002,Laptop Backpack,60
50,2024-10-24,P009,Smartphone,600
51,2024-10-24,P002,Laptop Backpack,60
52,2024-10-24,P001,Wireless Headphones,100
53,2024-10-24,P006,Wireless Mouse,30
54,2024-10-24,P008,HDMI cable,15
55,2024-10-24,P006,Wireless Mouse,30
56,2024-10-24,P010,External Hard Drive,100
57,2024-10-24,P002,Laptop Backpack,60
58,2024-10-24,P008,HDMI cable,15
59,2024-10-24,P002,Laptop Backpack,60
60,2024-10-24,P001,Wireless Headphones,100
61,2024-10-24,P008,HDMI cable,15
62,2024-10-24,P008,HDMI cable,15
63,2024-10-24,P006,Wireless Mouse,30
64,2024-10-24,P006,Wireless Mouse,30
65,2024-10-24,P002,Laptop Backpack,60
66,2024-10-24,P004,USB Flash Drive,20
67,2024-10-24,P005,Mobile Phone Case,15
68,2024-10-24,P001,Wireless Headphones,100
69,2024-10-24,P010,External Hard Drive,100
70,2024-10-24,P001,Wireless Headphones,100
71,2024-10-24,P003,Bluetooth Speaker,50
72,2024-10-24,P001,Wireless Headphones,100
73,2024-10-24,P003,Bluetooth Speaker,50
74,2024-10-24,P010,External Hard Drive,100
75,2024-10-24,P008,HDMI cable,15
76,2024-10-24,P004,USB Flash Drive,20
77,2024-10-24,P006,Wireless Mouse,30
78,2024-10-24,P005,Mobile Phone Case,15
79,2024-10-24,P001,Wireless Headphones,100
80,2024-10-24,P009,Smartphone,600
81,2024-10-24,P009,Smartphone,600
82,2024-10-24,P010,External Hard Drive,100
83,2024-10-24,P008,HDMI cable,15
84,2024-10-24,P006,Wireless Mouse,30
85,2024-10-24,P004,USB Flash Drive,20
86,2024-10-24,P002,Laptop Backpack,60
87,2024-10-24,P001,Wireless Headphones,100
88,2024-10-24,P003,Bluetooth Speaker,50
